Date,Day,Month,Year
03/07/2019,Wednesday,July,2019
28/03/2022,Monday,March,2022
12/12/2017,Tuesday,December,2017
01/01/2018,Monday,January,2018
18/09/2021,Saturday,September,2021
29/12/2012,Saturday,December,2012
04/04/2013,Thursday,April,2013
12/06/2007,Tuesday,June,2007
11/03/2022,Friday,March,2022
10/08/2010,Tuesday,August,2010
17/09/2011,Saturday,September,2011
10/06/2014,Tuesday,June,2014
28/05/2016,Saturday,May,2016
08/02/2016,Monday,February,2016
17/07/2012,Tuesday,July,2012
08/11/2017,Wednesday,December,2017
12/08/2020,Wednesday,August,2020
04/08/2012,Saturday,August,2012
09/02/2014,Sunday,February,2014
11/10/2011,Tuesday,October ,2011
25/06/2010,Friday,June,2010
17/05/2011,Tuesday,May,2011
30/03/2018,Friday,March,2018
23/12/2012,Sunday,December,2012
19/07/2014,Saturday,July,2014
30/06/2009,Tuesday,June,2009
08/07/2007,Sunday,July,2007
23/03/2012,Friday,March,2012
01/03/2016,Tuesday,March,2016
31/03/2009,Tuesday,March,2009
17/11/2009,Tuesday,November,2009
05/01/2004,Monday,January,2004
09/01/2010,Saturday,January,2010
16/08/2001,Thursday,August,2001
31/12/2006,Sunday,December,2006
24/10/2009,Saturday,October,2009
02/09/2020,Wednesday,September,2020
21/07/2000,Friday,July,2000
15/11/2019,Friday,November,2019
01/08/2002,Thursday,August,2002
21/01/2020,Tuesday,January,2020
01/10/2012,Monday,October,2012
06/03/2021,Saturday,March,2021
19/04/2008,Saturday,April,2008
15/08/2013,Thursday,August,2013
10/12/2014,Wednesday,December,2014
02/07/2009,Thursday,July,2009
02/11/2007,Friday,November,2007
06/09/2011,Tuesday,September,2011
12/09/2008,Friday,September,2008
25/05/2008,Sunday,May,2008
08/03/2015,Sunday,March,2015
30/09/2016,Friday,September,2016
28/08/2009,Friday,August,2009
28/03/2007,Wednesday,March,2007
17/07/2001,Tuesday,July,2001
29/11/2016,Tuesday,November,2016
10/07/2003,Thursday,July,2003
21/05/2005,Saturday,May,2005
20/05/2017,Saturday,May,2017
16/12/2015,Wednesday,December,2015
18/11/2002,Monday,November,2002
16/03/2022,Wednesday,March,2022
31/08/2001,Friday,August,2001
20/12/2004,Monday,December,2004
03/05/2008,Saturday,May,2008
13/07/2007,Friday,July,2007
08/10/2011,Saturday,October,2011
24/10/2004,Sunday,October,2004
01/01/2002,Tuesday,January,2002
18/11/2020,Wednesday,November,2020
07/05/2003,Wednesday,May,2003
06/03/2008,Thursday,March,2008
03/02/2007,Saturday,February,2007
11/12/2001,Tuesday,December,2001
12/08/2008,Tuesday,August,2008
14/06/2012,Thursday,June,2012
04/08/2001,Saturday,August,2001
04/07/2010,Sunday,July,2010
24/10/2004,Sunday,October,2004
23/07/2016,Saturday,July,2016
01/07/2003,Tuesday,July,2003
08/04/2008,Tuesday,April,2008
02/01/2004,Friday,January,2004
19/07/2003,Saturday,July,2003
14/12/2011,Wednesday,December,2011
26/02/2015,Thursday,February,2015
24/04/2017,Monday,April,2017
07/07/2004,Wednesday,July,2004
16/05/2012,Wednesday,May,2012
05/10/2018,Friday,October,2018
07/06/2010,Monday,June,2010
13/03/2010,Saturday,March,2010
15/06/2013,Saturday,June,2013
23/07/2005,Saturday,July,2005
25/11/2020,Wednesday,November,2020
29/08/2000,Tuesday,August,2000
15/01/2011,Saturday,January,2011
17/02/2013,Sunday,February,2013
13/02/2018,Tuesday,February,2018
